AID_ID_Number,District,Road_EN,Latitude,Longitude
AID01135,Sha Tin,Sha Tin Road near Hong Kong Institute of Vocational Education (Sha Tin) - Northbound ,22.39016201,114.1990055
AID01136,Sha Tin,Sha Tin Road near Fo Tan Railway House - Northbound ,22.39401803,114.1990838
AID01201,Wong Tai Sin,Lion Rock Tunnel Road near Exit to Kowloon - Southbound ,22.34566999,114.1815632
AID01202,Kowloon City,Waterloo Road near Warwick Road - Southbound ,22.3424,114.17875
AID01203,Kowloon City,Waterloo Road near Junction Road - Southbound ,22.33891517,114.1791653
AID01204,Kowloon City,Waterloo Road near Kowloon East Barracks - Southbound ,22.33496881,114.1789128
AID01205,Kowloon City,Waterloo Road near American Internationnal School - Southbound ,22.33252153,114.178874
AID01206,Kowloon City,Waterloo Road near Kowloon Tong Club - Southbound ,22.32842165,114.1786021
AID01207,Kowloon City,Waterloo Road near St. George Apartments - Southbound ,22.32398763,114.1782818
AID01208,Kowloon City,Princess Margaret Road near St. John Ambulance Brigade Kowloon Depot - Southbound ,22.32130555,114.1782623
AID01209,Kowloon City,Princess Margaret Road near Yu Chun Keung Memorial College - Southbound ,22.31849702,114.179
AID01210,Kowloon City,Princess Margaret Road near Oi Man Estate - Southbound ,22.31330444,114.1769617
AID01211,Kowloon City,Princess Margaret Road near Oi Man Estate - Southbound(2) ,22.31041465,114.1782331
AID01212,Kowloon City,Princess Margaret Road near King's Park -Southbound ,22.3094574,114.1788251
AID01213,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Southbound ,22.30526714,114.1814745
AID01214,Wan Chai,Canal Road Flyover near Elizabeth House - Southbound ,22.280729,114.180701
AID01215,Wan Chai,Canal Road Flyover near Wing Tak Building - Southbound ,22.278219,114.181221
AID01216,Wan Chai,Wong Nai Chung Gap Flyover near Racecourse - Southbound ,22.27331682,114.1796008
AID01217,Southern,Aberdeen Tunnel near Toll Plaza - Westbound ,22.250597,114.177565
AID01218,Southern,Wong Chuk Hang Road near Wong Chuk Hang Sports Centre - Westbound ,22.25005384,114.1737118
AID01219,Southern,Wong Chuk Hang Road near Wong Chuk Hang Recreation Ground - Westbound ,22.25007176,114.1694335
AID01220,Southern,Wong Chuk Hang Road Flyover near Cheung Tak Industrial Building - Westbound ,22.2482744,114.1650487
AID01221,Southern,Wong Chuk Hang Road near Aberdeen Police Station - Westbound ,22.24862632,114.1617697
AID01222,Southern,Aberdeen Praya Road near Ocean Court - Westbound ,22.24761461,114.1590439
AID01223,Southern,Aberdeen Praya Road near Aberdeen Bus Terminus - Westbound ,22.24747861,114.1546396
AID02104,Kwun Tong,Kwun Tong Bypass near Sceneway Garden - Westbound ,22.30694617,114.2331057
AID02105,Kwun Tong,Kwun Tong Bypass near Magistrates Courts - Westbound ,22.30887989,114.2296126
AID02106,Kwun Tong,Kwun Tong Bypass near Laguna City - Westbound ,22.30812221,114.2267978
AID02107,Kwun Tong,Kwun Tong Bypass near Manulife Financial Centre - Westbound ,22.30651544,114.2245554
AID02108,Kwun Tong,Kwun Tong Bypass near Kwun Tong Ferry - Westbound ,22.30788913,114.2208679
AID02109,Kwun Tong,Kwun Tong Bypass near Kowloon Flour Mills - Northbound ,22.31151117,114.2179477
AID02110,Kwun Tong,Kwun Tong Bypass near NEO - Northbound ,22.31318224,114.2163274
AID02111,Kwun Tong,Kwun Tong Bypass near Kowloon Godown - Northbound ,22.31551267,114.2140375
AID02112,Kwun Tong,Kwun Tong Bypass near Kai Tak Fire Station - Northbound ,22.316913,114.2113882
AID02113,Kwun Tong,Kwun Tong Bypass near MegaBox - Northbound ,22.31887341,114.2075548
AID02114,Kwun Tong,Kwun Tong Bypass near Trade & Exhibition Centre - Northbound ,22.3228384,114.2044691
AID02115,Kwun Tong,Kwun Tong Bypass near Kowloon Bay Park - Northbound ,22.32760644,114.2051204
AID02116,Kwun Tong,Kwun Tong Bypass near Choi Hung Estate - Northbound ,22.33323248,114.2051603
AID02117,Wong Tai Sin,Tate's Cairn Highway near Chi Lin Nunnery - Northbound ,22.33842535,114.2034335
AID02118,Sha Tin,Tate's Cairn Tunnel near Toll Plaza - Northbound ,22.37826677,114.2107819
AID02119,Sha Tin,Tate's Cairn Highway near HK School of Motoring - Northbound ,22.38236672,114.2103459
AID02120,Sha Tin,Tate's Cairn Highway near HKBU (Shek Mun) - Northbound ,22.3877668,114.2111629
AID02121,Sha Tin,Tate's Cairn Highway near On Sum Street - Northbound ,22.39230051,114.2092801
AID02122,Sha Tin,Tate's Cairn Highway near Rowing Centre - Northbound ,22.3965898,114.2102328
AID02123,Sha Tin,Tate's Cairn Highway near Shatin Hospital - Northbound ,22.39997576,114.2124769
AID02124,Sha Tin,Tate's Cairn Highway near A Kung Kok Sports Grounds - Northbound ,22.40280159,114.215634
AID02125,Sha Tin,Tate's Cairn Highway near Tai Shui Hang Bicycle Park - Northbound ,22.40600689,114.2177521
AID02126,Sha Tin,Tate's Cairn Highway near Marine Police Station - Northbound ,22.40936721,114.2137031
AID02127,Sha Tin,Tate's Cairn Highway near Hyatt Regency ShaTin - Northbound ,22.41184191,114.21214
AID02201,Wong Tai Sin,Tate's Cairn Highway near Chi Lin Nunnery - Southbound ,22.34024044,114.2038221
AID02202,Wong Tai Sin,Tate's Cairn Highway near Choi Hung Estate - Southbound ,22.3353096,114.2046366
AID02203,Kwun Tong,Kwun Tong Bypass near Kai Ching Estate - Southbound ,22.33237458,114.2051116
AID02204,Kwun Tong,Kwun Tong Bypass near Skyline Tower Car Park - Southbound ,22.32719107,114.2049068
AID02205,Kwun Tong,Kwun Tong Bypass near Trade & Exhibition Centre - Southbound ,22.32376857,114.2043431
AID02206,Kwun Tong,Kwun Tong Bypass near MegaBox - Southbound ,22.31925276,114.2072249
AID02207,Kwun Tong,Kwun Tong Bypass near Vehicle Examination Centre - Southbound ,22.31706671,114.2104759
AID02208,Kwun Tong,Kwun Tong Bypass near Kowloon Godown - Southbound ,22.31617205,114.2133874
AID02209,Kwun Tong,Kwun Tong Bypass near MG Tower - Southbound ,22.31284803,114.2166476
AID02210,Kwun Tong,Kwun Tong Bypass near Kowloon Flour Mills - Southbound ,22.3111589,114.2182776
AID02211,Kwun Tong,Kwun Tong Bypass near Kwun Tong Ferry - Eastbound ,22.3086298,114.2202955
AID02212,Kwun Tong,Kwun Tong Bypass near Kwun Tong Sewage Treatment Works - Eastbound ,22.30629936,114.2222843
AID02213,Kwun Tong,Kwun Tong Bypass near Manulife Financial Centre - Eastbound ,22.30638009,114.2241963
AID02214,Kwun Tong,Kwun Tong Bypass near Sunbeam Centre - Eastbound ,22.30851925,114.2277976
AID02215,Kwun Tong,Kwun Tong Bypass near Sceneway Garden - Eastbound ,22.30828304,114.2321164
AID03101,Central and Western,Connaught Road West Flyover near Tram Depot - Eastbound ,22.287996,114.1379233
AID03102,Central and Western,Connaught Road West near Western Wholesale Food Market - Northbound ,22.2887006,114.1388353
AID03103,Central and Western,Connaught Road West near Sun Yat Sen Memorial Park - Northbound (1) ,22.28851255,114.1463558
AID03104,Central and Western,Connaught Road West near Sun Yat Sen Memorial Park - Northbound (2) ,22.28869255,114.1432602
AID03106,Yau Tsim Mong,West Kowloon Highway near Centenary Substation - Northbound ,22.30780401,114.1607347
AID03107,Yau Tsim Mong,West Kowloon Highway near Olympic Plaza - Northbound ,22.31424287,114.1611901
AID03108,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Northbound (1) ,22.31770145,114.1598309
AID03109,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Northbound (2) ,22.31936301,114.159093
AID03110,Sham Shui Po,West Kowloon Highway near Tai Kok Tsui Substation - Northbound ,22.32431136,114.1556952
AID03111,Sham Shui Po,West Kowloon Highway near Nam Cheong MTR Station - Northbound ,22.32713749,114.152511
AID03112,Sham Shui Po,West Kowloon Highway near Hing Wah Street West - Northbound ,22.32897925,114.1495114
AID03113,Sham Shui Po,West Kowloon Highway near SKH St. Andrew's Primary School - Northbound ,22.33021588,114.1463564
AID03114,Sham Shui Po,West Kln Hwy near Tsing Sha Hwy - Northbound ,22.33166006,114.1427743
AID03115,Tsuen Wan,Tsing Long Highway near Royal View Hotel - Northbound ,22.36920891,114.0768383
AID03116,Tsuen Wan,Tsing Long Highway near Tai Lam Tunnel Entrance from Kowloon - Northbound ,22.37144646,114.0736228
AID03117,Yuen Long,Tsing Long Highway near MTR Pat Heung Maintenance Centre - Northbound (1) ,22.4234468,114.0642015
AID03118,Yuen Long,Tsing Long Highway near MTR Pat Heung Maintenance Centre - Northbound (2) ,22.42813342,114.0639257
AID03119,Yuen Long,Tsing Long Highway near MTR Kam Sheung Road Station - Northbound (1) ,22.43195249,114.0627667
AID03120,Yuen Long,Tsing Long Highway near MTR Kam Sheung Road Station - Northbound (2) ,22.43502139,114.060734
AID03121,Yuen Long,Tsing Long Highway near Kam Tin Road - Northbound (1) ,22.43745767,114.0580606
AID03122,Yuen Long,Tsing Long Highway near Kam Tin Road - Northbound (2) ,22.44005575,114.0544641
AID03123,Yuen Long,Tsing Long Highway near Kam Tin Road - Northbound (3) ,22.44312344,114.051003
AID03124,Yuen Long,Tsing Long Highway near Castle Peak Road (Yuen Long) - Northbound (1) ,22.44718551,114.0489301
AID03125,Yuen Long,Tsing Long Highway near Castle Peak Road (Yuen Long) - Northbound (2) ,22.44964125,114.0482478
AID03201,Tsuen Wan,Tsing Long Highway near Tai Lam Tunnel exit to Kowloon - Southbound ,22.37390021,114.0696886
AID03202,Kwai Tsing,Tsing Kwai Highway near China Resources Int'l Logistics Centre - Southbound ,22.33462042,114.1356001
AID03203,Sham Shui Po,West Kln Hwy near Hoi Lai Estate - Southbound ,22.33282441,114.1400755
AID03204,Sham Shui Po,West Kowloon Highway near Hing Wah Street West - Southbound ,22.32936742,114.1486862
AID03205,Sham Shui Po,West Kowloon Highway near Nam Cheong MTR Statoin - Southbound ,22.32683954,114.1529091
AID03206,Sham Shui Po,West Kowloon Highway near Tai Kok Tsui Substation - Southbound ,22.32400436,114.1559767
AID03207,Yau Tsim Mong,West Kowloon Highway near Olympian City Promenade Park - Southbound ,22.32131349,114.1580057
AID03208,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Southbound ,22.31895665,114.1592872
AID03209,Yau Tsim Mong,West Kowloon Highway near Hoi Fai Road Promenade - Southbound ,22.31687971,114.1601707
AID03210,Yau Tsim Mong,West Kowloon Highway near Olympic Plaza - Southbound ,22.31468536,114.1610542
AID03211,Yau Tsim Mong,West Kowloon Highway near Centenary Substation - Southbound ,22.30700933,114.1609192
AID04101,Central and Western,Shing Sai Road near Kennedy Town Swimming Pool - Eastbound ,22.28659457,114.131461
AID04102,Central and Western,Connaught Road West Flyover near Western Harbour Centre - Eastbound ,22.28749888,114.1361379
AID04103,Central and Western,Connaught Road West Flyover near The Westpoint - Eastbound ,22.28899887,114.1399608
AID04104,Central and Western,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Eastbound ,22.2890808,114.1429302
AID04105,Central and Western,Connaught Road West Flyover near Central Police Station - Eastbound ,22.28822405,114.1490826
AID04106,Eastern,Island Eastern Corridor near Provident Centre - Eastbound ,22.29326424,114.1971658
AID04107,Eastern,Island Eastern Corridor near North Point Ferry Pier Eastbound ,22.2938687,114.201426
AID04108,Eastern,Island Eastern Corridor near ICAC Headquarters - Eastbound ,22.29412091,114.2054048
AID04109,Eastern,Island Eastern Corridor near North Point Government Offices - Eastbound ,22.29318113,114.2085875
AID04110,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 2 - Eastbound ,22.29116665,114.2117894
AID04111,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 1 - Eastbound ,22.28954921,114.2159617
AID04112,Eastern,Island Eastern Corridor near Taikoo Shing - Eastbound ,22.28752487,114.221696
AID04113,Eastern,Island Eastern Corridor near Tai On Building - Eastbound ,22.28417443,114.221957
AID04114,Eastern,Island Eastern Corridor near St. Mark's School - Eastbound ,22.28130192,114.2246342
AID04115,Eastern,Island Eastern Corridor near Aldrich Garden - Eastbound ,22.27997282,114.2297861
AID04116,Eastern,Island Eastern Corridor near Heng Fa Chuen - Eastbound (1) ,22.28224709,114.2340759
AID04117,Eastern,Island Eastern Corridor near Heng Fa Chuen - Eastbound (2) ,22.27876033,114.2366555
AID04118,Eastern,Island Eastern Corridor near Heng Fa Chuen - Eastbound (3) ,22.27529184,114.2385849
AID04119,Eastern,Island Eastern Corridor near HKIVE (Chai Wan) - Southbound ,22.27116465,114.2390779
AID04120,Eastern,Island Eastern Corridor near Chai Wan Park - Southbound ,22.2674807,114.2376307
AID04121,Eastern,Island Eastern Corridor near ICAC Headquarters - Eastbound ,22.29385898,114.2056182
AID04122,Eastern,Island Eastern Corridor near North Point Government Offices - Eastbound ,22.29319937,114.2076948
AID04201,Eastern,Island Eastern Corridor near Chai Wan MTR Station - Northbound ,22.26459999,114.2374257
AID04202,Eastern,Island Eastern Corridor near Eastern Hospital - Northbound ,22.26897061,114.238
AID04203,Eastern,Island Eastern Corridor near HKIVE (Chai Wan) - Northbound ,22.27167045,114.2388744
AID04204,Eastern,Island Eastern Corridor near Heng Fa Chuen - Northbound (1) ,22.27640298,114.2376054
AID04205,Eastern,Island Eastern Corridor near Heng Fa Chuen - Northbound (2) ,22.27898614,114.2365392
AID04206,Eastern,Island Eastern Corridor near Museum of Coastal Defence - Northbound ,22.28136181,114.2348324
AID04207,Eastern,Island Eastern Corridor near Aldrich Garden - Westbound ,22.28126407,114.2301845
AID04208,Eastern,Island Eastern Corridor near Oi Tung Estate - Westbound ,22.28061524,114.2258177
AID04209,Eastern,Island Eastern Corridor near Tai On Building - Westbound ,22.28126586,114.2244401
AID04210,Eastern,Island Eastern Corridor near Taikoo Shing - Westbound (1) ,22.28600779,114.2214336
AID04211,Eastern,Island Eastern Corridor near Taikoo Shing - Westbound (2) ,22.28842864,114.2190375
AID04212,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 1 - Westbound (1) ,22.28844642,114.2201049
AID04213,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 1 - Westbound (2) ,22.28910676,114.2157675
AID04214,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 2 - Westbound ,22.29087764,114.2119252
AID04215,Eastern,Island Eastern Corridor near North Point Government Offices - Westbound ,22.29288308,114.2087816
AID04216,Eastern,Island Eastern Corridor near Vehicle Ferry Pier - Westbound ,22.29389518,114.2052106
AID04217,Eastern,Island Eastern Corridor near Hyatt Centric - Westbound ,22.29350781,114.1991163
AID04218,Central and Western,Connaught Road West Flyover near Shun Tak Centre - Westbound ,22.2875291,114.1515281
AID04219,Central and Western,Connaught Road West Flyover near Sheung Wan Fire Station - Westbound ,22.28842253,114.1479666
AID04220,Central and Western,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Westbound ,22.28889136,114.1439589
AID04221,Central and Western,Connaught Road West Flyover near Courtyard - Westbound ,22.28817674,114.1384473
AID04222,Eastern,Island Eastern Corridor near EHC - Westbound ,22.28951355,114.2140112
AID05101,Kwun Tong,Kai Fuk Road near Kwun Tong Government Primary School - Northbound ,22.31542134,114.2182594
AID05102,Kwun Tong,Kai Fuk Road near Ngau Tau Kok Jockey Club Clinic - Northbound ,22.31673143,114.2156198
AID05103,Kwun Tong,Kai Fuk Road near Kowloon Bay Vehicle Examination Centre - Westbound ,22.31817721,114.2117379
AID05104,Kwun Tong,Kai Fuk Road near Kowloon Bay Vehicle Detention and Examination Centre - Westbound ,22.3188824,114.2077975
AID05109,Kowloon City,Chatham Road North near MTR Ho Man Tin Station - Westbound ,22.30853617,114.1829207
AID05110,Yau Tsim Mong,Gascoigne Road near Gun Club Hill Barracks - Westbound ,22.30588128,114.1782331
AID05111,Yau Tsim Mong,Gascoigne Road near Diocesan Girls' School - Westbound ,22.30716361,114.1739143
AID05113,Yau Tsim Mong,Gascoigne Road Flyover near Prosperous Garden - Northbound ,22.31044147,114.1673631
AID05114,Yau Tsim Mong,Ferry Street near Cherry Street Park - Northbound ,22.31326801,114.1668291
AID05115,Yau Tsim Mong,West Kowloon Corridor West near Cherry Street Park - Northbound (1) ,22.3168441,114.1662756
AID05116,Yau Tsim Mong,West Kowloon Corridor West near Cherry Street Park - Northbound (2) ,22.31847848,114.164179
AID05117,Yau Tsim Mong,West Kowloon Corridor West near Fuk Tsun Street - Northbound ,22.32277686,114.161985
AID05118,Sham Shui Po,West Kowloon Corridor near Tung Chau Street Park - Northbound ,22.3267487,114.1595036
AID05119,Sham Shui Po,West Kowloon Corridor near Yen Chow Street West - Northbound ,22.32855591,114.1570438
AID05120,Sham Shui Po,West Kowloon Corridor near West Kowloon Law Courts Building - Northbound ,22.33148132,114.1533548
AID05121,Sham Shui Po,West Kowloon Corridor near Lai Chi Kok MTR Station - Northbound ,22.33557141,114.1485394
AID05122,Sham Shui Po,Kwai Chung Road near Lai Chi Kok Fire Station- Northbound ,22.3363472,114.1441031
AID05123,Sham Shui Po,Kwai Chung Road near Delia Memorial School (Glee Path) - Northbound ,22.3370778,114.1400162
AID05124,Sham Shui Po,Kwai Chung Road near Kwai Chung Interchange - Northbound ,22.33798861,114.134774
AID05125,Kwai Tsing,Kwai Chung Road near Hong Chi Winifred Mary Cheung Morninghope School - Northbound ,22.3434053,114.1288313
AID05126,Kwai Tsing,Kwai Chung Road near Lai King MTR Station - Nouthbound ,22.34817223,114.124898
AID05127,Kwai Tsing,Kwai Chung Road near Lai King Estate - Northbound ,22.35124287,114.1256929
AID05128,Kwai Tsing,Tsuen Wan Road near Kwai Chung Park - Northbound ,22.35607328,114.1228077
AID05129,Tsuen Wan,Tsuen Wan Road near Wing Kin Industrial Building - Nouthbound ,22.35851063,114.1201757
AID05130,Kwai Tsing,Tsuen Wan Road near Wing Kei Road 5-A-Side Soccer Pitch - Northbound ,22.36203197,114.1185626
AID05131,Tsuen Wan,Tsuen Wan Road near Tsuen Wan Driving Test Centre - Northbound ,22.3641441,114.1158044
AID05132,Tsuen Wan,Tsuen Wan Road near Tsuen Wan Sports Centre - Northbound ,22.36634641,114.1128615
AID05133,Tsuen Wan,Tsuen Wan Road near Tsuen Wan West MTR Station - Northbound ,22.36950582,114.1096948
AID05134,Tsuen Wan,Tsuen Wan Road near Hoi Shing Garden - Northbound ,22.37236722,114.1066931
AID05135,Tsuen Wan,Tsuen Wan Road near Kong Nam industrial building - Westbound ,22.37420787,114.1031287
AID05201,Tsuen Wan,Tuen Mun Road near Belvedere Garden Phase 1 Car Park -Eastbound ,22.3737916,114.101255
AID05202,Tsuen Wan,Tsuen Wan Road near Hoi Shing Garden - Southbound ,22.37201519,114.1070623
AID05203,Tsuen Wan,Tsuen Wan Road near Tsuen Wan West MTR Station - Southbound ,22.36921697,114.1100056
AID05204,Tsuen Wan,Tsuen Wan Road near Tsuen Wan Sports Centre - Sorthbound ,22.36650902,114.1130071
AID05205,Kwai Tsing,Tsuen Wan Road near Wing Kei Road 5-A-Side Soccer Pitch - Southbound (1) ,22.36260975,114.1180866
AID05206,Kwai Tsing,Tsuen Wan Road near Wing Kei Road 5-A-Side Soccer Pitch - Southbound (2) ,22.35956704,114.1197093
AID05207,Kwai Tsing,Tsuen Wan Road near Kwai Chung Park - Southbound ,22.35655172,114.1222833
AID05208,Kwai Tsing,Tsuen Wan Road near Kwai Shun Street Playground - Southbound ,22.35422265,114.1247501
AID05209,Kwai Tsing,Kwai Chung Road near Lai King MTR Station - Southbound (1) ,22.34973473,114.1255672
AID05210,Kwai Tsing,Kwai Chung Road near Lai King MTR Station - Southbound (2) ,22.34654674,114.1249568
AID05211,Kwai Tsing,Kwai Chung Road near Hong Chi Winifred Mary Cheung Morninghope School - Southbound ,22.34401896,114.1274235
AID05212,Sham Shui Po,Kwai Chung Road near Mei Foo MTR Station - Southbound ,22.33791649,114.1352303
AID05213,Sham Shui Po,Kwai Chung Road near Delia Memorial School (Glee Path) - Southbound ,22.33717701,114.1394628
AID05214,Sham Shui Po,Kwai Chung Road near Lai Chi Kok Fire Station - Southbound ,22.33650957,114.1432003
AID05215,Sham Shui Po,Lai Chi Kok Road near Novel Industrial Building - Southbound ,22.33522804,114.1474037
AID05216,Sham Shui Po,West Kowloon Corridor near The Pacifica -Southbound ,22.33542719,114.1501314
AID05217,Sham Shui Po,West Kowloon Corridor near West Kowloon Law Courts Building - Southbound ,22.3316168,114.1534712
AID05218,Sham Shui Po,West Kowloon Corridor near Tung Chau Street Park - Southbound ,22.3273099,114.1588591
AID05219,Yau Tsim Mong,West Kowloon Corridor near Sycamore Playground -Southbound ,22.32449274,114.1627517
AID05220,Yau Tsim Mong,West Kowloon Corridor near Fuk Keung Indistrial Building - Southbound ,22.32209082,114.1654599
AID05221,Yau Tsim Mong,West Kowloon Corridor near Cherry Street Park - Southbound (1) ,22.3185599,114.1661979
AID05222,Yau Tsim Mong,West Kowloon Corridor near Cherry Street Park - Southbound (2) ,22.31487545,114.1667417
AID05223,Yau Tsim Mong,West Kowloon Corridor near Prosperous Garden - Southbound ,22.31002607,114.167499
AID05224,Yau Tsim Mong,Gascoigne Road near Methodist College - Eastbound ,22.30898773,114.1716432
AID05225,Yau Tsim Mong,Gascoigne Road near Diocesan Girls' School - Eastbound  ,22.30710943,114.1744093
AID05226,Yau Tsim Mong,Gascoigne Road near Gun Club Hill Barracks - Eastbound ,22.30599868,114.1778352
AID05227,Kowloon City,Chatham Road North near MTR Ho Man Tin Station - Eastbound ,22.30838266,114.1826198
AID05232,Kwun Tong,Kai Fuk Road near Billion Centre - Eastbound ,22.32081529,114.2059246
AID05233,Kwun Tong,Kai Fuk Road near Kowloon Bay Vehicle Detention and Examination Centre - Eastbound ,22.31872881,114.2081274
AID05234,Kwun Tong,Kai Fuk Road near Kowloon Bay Vehicle Examination Centre - Eastbound ,22.31814115,114.2114273
AID05235,Kwun Tong,Kai Fuk Road near Kwun Tong Road Sitting-out Area - Eastbound ,22.316081,114.2165611
AID07101,Sai Kung,Wan Po Road near Pung Loi Road - Westbound ,22.31013704,114.2664351
AID07102,Sai Kung,Wan Po Road near Hong Kong Velodrome - Westbound ,22.31339861,114.2636323
AID07103,Sai Kung,Tseung Kwan O Tunnel Road near Telephone Exchange - Westbound ,22.31638994,114.2594218
AID07104,Sai Kung,Tseung Kwan O Tunnel Road near Tseung Kwan O Tunnel Portal - Westbound ,22.31924529,114.2560361
AID07105,Kwun Tong,Tseung Kwan O Road near Lin Tak Road - Westbound ,22.31483643,114.2398543
AID07106,Kwun Tong,Tseung Kwan O Road near Junk Bay Road Substation - Westbound ,22.31304942,114.2371069
AID07107,Kwun Tong,Tseung Kwan O Road near Yau Tong Telephone Exchange - Westbound ,22.31032431,114.2310496
AID07108,Kwun Tong,Kwun Tong Road near Tsui Ping Road - Westbound ,22.3108941,114.2284196
AID07109,Kwun Tong,Kwun Tong Road near The Grande Building - Westbound ,22.31357779,114.223102
AID07110,Kwun Tong,Kwun Tong Road near Lai Yip Street - Westbound ,22.31546654,114.2181042
AID07111,Kwun Tong,Kwun Tong Road near Yan Wing Mansion - Westbound ,22.31898025,114.2147566
AID07112,Kwun Tong,Kwun Tong Road near Fuk To Street - Westbound ,22.32325183,114.214321
AID07113,Kwun Tong,Kwun Tong Road near Kowloon Bay St. John the Baptist Catholic Primary School - Westbound ,22.32855321,114.2124102
AID07114,Kwun Tong,Kwun Tong Road near Choi Shek Lane - Westbound ,22.33063978,114.2100229
AID07115,Kwun Tong,Lung Cheung Road near Ping Shek Estate - Westbound ,22.33194957,114.2082469
AID07116,Wong Tai Sin,Lung Cheung Road near Kam Hon House Choi Hung Estate Substation - Westbound ,22.33651927,114.2070248
AID07117,Wong Tai Sin,Lung Cheung Road near Diamond Hill MTR Station ,22.33893112,114.203123
AID07118,Wong Tai Sin,Lung Cheung Road near Po Kong Village Road - Westbound ,22.34170428,114.1977746
AID07119,Wong Tai Sin,Lung Cheung Road near Lung On House Lower Wong Tai Sin (II) Estate - Westbound ,22.34167774,114.1929403
AID07120,Wong Tai Sin,Lung Cheung Road near Tin Ma Court - Westbound ,22.3425452,114.1863101
AID07121,Kowloon City,Lung Cheung Road near RTHK - Westbound ,22.34317745,114.184223
