AID_ID_Number,lane_id,speed,occupancy,volume
AID02107,Fast Lane,99,1,2
AID02107,Middle Lane,93,2,6
AID02107,Slow Lane,93,0,2
AID02108,Fast Lane,97,1,1
AID02108,Middle Lane,92,2,7
AID02108,Slow Lane,101,1,4
AID02109,Fast Lane,118,2,4
AID02109,Middle Lane,106,2,7
AID02109,Slow Lane,86,5,5
AID02110,Fast Lane,116,6,7
AID02110,Middle Lane,97,4,10
AID02110,Slow Lane,87,6,9
AID02111,Fast Lane,102,5,6
AID02111,Middle Lane,98,3,7
AID02111,Slow Lane,83,4,9
AID02112,Fast Lane,112,2,4
AID02112,Slow Lane,80,2,4
AID02113,Fast Lane,110,1,6
AID02113,Slow Lane,82,2,4
AID02114,Fast Lane,93,3,7
AID02114,Slow Lane,90,1,3
AID02115,Fast Lane,94,2,3
AID02115,Slow Lane,81,1,4
AID02116,Fast Lane,86,1,3
AID02116,Middle Lane,85,0,2
AID02117,Fast Lane,108,1,4
AID02117,Slow Lane,89,0,2
AID02118,Fast Lane,74,4,6
AID02118,Middle Lane 1,70,0,0
AID02118,Middle Lane 2,70,0,0
AID02118,Middle Lane 3,80,0,2
AID02118,Slow Lane,70,0,0
AID02119,Fast Lane,98,1,3
AID02119,Slow Lane,78,3,4
AID02120,Fast Lane,100,0,2
AID02120,Middle Lane 1,110,1,3
AID02120,Middle Lane 2,95,4,6
AID02120,Slow Lane,80,0,0
AID02121,Fast Lane,92,2,4
AID02121,Middle Lane,86,4,5
AID02121,Slow Lane,79,2,4
AID02122,Fast Lane,90,2,6
AID02122,Middle Lane,86,2,7
AID02122,Slow Lane,72,4,7
AID02123,Fast Lane,97,1,4
AID02123,Middle Lane,89,1,2
AID02123,Slow Lane,86,8,10
AID02124,Fast Lane,87,1,3
AID02124,Slow Lane,80,0,0
AID02125,Fast Lane,90,2,5
AID02125,Slow Lane,61,5,4
AID02126,Fast Lane,110,3,5
AID02126,Slow Lane,87,7,6
AID02127,Fast Lane,95,1,3
AID02127,Slow Lane,73,4,4
AID02201,Fast Lane,84,0,1
AID02201,Slow Lane,79,4,4
AID02202,Fast Lane,96,2,4
AID02202,Slow Lane,76,1,2
AID02203,Fast Lane,70,2,5
AID02203,Slow Lane,61,1,1
AID02204,Fast Lane,80,2,3
AID02204,Slow Lane,68,6,6
AID02205,Fast Lane,109,1,3
AID02205,Slow Lane,96,1,4
AID02206,Fast Lane,117,4,9
AID02206,Slow Lane,97,2,5
AID02207,Fast Lane,91,2,4
AID02207,Middle Lane,73,4,6
AID02207,Slow Lane,66,2,3
AID02208,Fast Lane,117,1,5
AID02208,Middle Lane,93,3,7
AID02208,Slow Lane,88,0,2
AID02209,Fast Lane,112,4,9
AID02209,Middle Lane,95,2,10
AID02209,Slow Lane,89,2,7
AID02210,Fast Lane,104,2,7
AID02210,Middle Lane,85,4,10
AID02210,Slow Lane,73,4,9
AID02211,Fast Lane,104,3,8
AID02211,Middle Lane,80,5,12
AID02211,Slow Lane,64,4,10
AID02212,Fast Lane,80,4,4
AID02212,Middle Lane,74,8,11
AID02212,Slow Lane,64,4,3
AID02213,Fast Lane,81,1,3
AID02213,Middle Lane,72,1,2
AID02213,Slow Lane,71,7,9
AID02214,Fast Lane,88,1,3
AID02214,Middle Lane 1,76,4,9
AID02214,Middle Lane 2,88,0,1
AID02214,Slow Lane,64,1,3
AID02215,Fast Lane,94,1,2
AID02215,Slow Lane,70,0,0
AID03101,Fast Lane,55,0,1
AID03101,Middle Lane,63,0,2
AID03101,Slow Lane,80,0,0
AID03102,Fast Lane,50,0,0
AID03102,Slow Lane,45,0,1
AID03103,Fast Lane,86,2,4
AID03103,Slow Lane,75,4,7
AID03104,Fast Lane,50,6,6
AID03106,Fast Lane,127,1,3
AID03106,Middle Lane,109,2,5
AID03106,Slow Lane,90,2,2
AID03107,Fast Lane,110,1,4
AID03107,Middle Lane,97,4,8
AID03107,Slow Lane,67,4,2
AID03108,Fast Lane,125,2,5
AID03108,Middle Lane,105,3,6
AID03108,Slow Lane,84,2,7
AID03109,Fast Lane,119,2,6
AID03109,Middle Lane,94,4,8
AID03109,Slow Lane,81,4,9
AID03111,Fast Lane,102,1,4
AID03111,Middle Lane,90,2,6
AID03111,Slow Lane,85,2,6
AID03112,Fast Lane,135,1,2
AID03112,Middle Lane,108,2,6
AID03112,Slow Lane,88,5,10
AID03113,Fast Lane,107,1,2
AID03113,Middle Lane,105,0,3
AID03113,Slow Lane,81,1,2
AID03114,Fast Lane,130,1,3
AID03114,Middle Lane,121,2,6
AID03114,Slow Lane,100,0,0
AID03115,Fast Lane,136,0,1
AID03115,Middle Lane,106,1,2
AID03115,Slow Lane,80,0,0
AID03116,Fast Lane,80,0,0
AID03116,Middle Lane,90,1,3
AID03116,Slow Lane,80,0,0
AID03117,Fast Lane,108,0,1
AID03117,Middle Lane,95,2,3
AID03117,Slow Lane,100,0,0
AID03118,Fast Lane,122,1,2
AID03118,Middle Lane,93,2,5
AID03118,Slow Lane,60,1,1
AID03119,Fast Lane,117,1,2
AID03119,Middle Lane,79,1,3
AID03119,Slow Lane,125,2,2
AID03120,Fast Lane,120,1,3
AID03120,Middle Lane,90,3,4
AID03120,Slow Lane,89,0,2
AID03121,Fast Lane,100,0,0
AID03121,Middle Lane,101,2,3
AID03121,Slow Lane,105,0,1
AID03122,Fast Lane,126,0,1
AID03122,Middle Lane,113,1,1
AID03122,Slow Lane,105,2,2
AID03123,Fast Lane,114,0,1
AID03123,Middle Lane,115,0,2
AID03123,Slow Lane,95,5,5
AID03124,Fast Lane,107,0,1
AID03124,Slow Lane,100,0,0
AID03125,Fast Lane,113,0,1
AID03125,Slow Lane,69,0,1
AID03201,Fast Lane,80,0,0
AID03201,Middle Lane,100,0,1
AID03201,Slow Lane,68,4,3
AID03202,Fast Lane,80,0,0
AID03202,Middle Lane 1,95,1,2
AID03202,Middle Lane 2,96,2,3
AID03202,Slow Lane,95,2,4
AID03203,Fast Lane,111,1,2
AID03203,Middle Lane,88,3,6
AID03203,Slow Lane,72,2,2
AID03204,Fast Lane,106,0,1
AID03204,Middle Lane,96,2,4
AID03204,Slow Lane,73,0,1
AID03205,Fast Lane,100,0,0
AID03205,Middle Lane,114,2,5
AID03205,Slow Lane,100,1,3
AID03206,Fast Lane,119,2,4
AID03206,Middle Lane,110,1,4
AID03206,Slow Lane,101,2,5
AID03207,Fast Lane,132,1,3
AID03207,Middle Lane,103,1,5
AID03207,Slow Lane,93,4,8
AID03208,Fast Lane,135,1,2
AID03208,Middle Lane,111,2,4
AID03208,Slow Lane,93,3,5
AID03209,Fast Lane,116,0,1
AID03209,Middle Lane,101,2,3
AID03209,Slow Lane,92,6,7
AID03210,Fast Lane,100,0,0
AID03210,Middle Lane,91,2,4
AID03210,Slow Lane,77,1,1
AID03211,Fast Lane,86,1,3
AID03211,Middle Lane 1,70,5,3
AID03211,Middle Lane 2,75,1,2
AID03211,Slow Lane,80,0,0
AID04101,Fast Lane,50,0,0
AID04101,Middle Lane,50,0,0
AID04101,Slow Lane,63,0,2
AID04102,Fast Lane,75,2,2
AID04102,Slow Lane,85,0,1
AID04103,Fast Lane,62,1,2
AID04103,Slow Lane,80,0,0
AID04104,Fast Lane,93,0,2
AID04104,Middle Lane 1,66,3,9
AID04104,Middle Lane 2,70,1,2
AID04104,Slow Lane,71,1,4
AID04105,Fast Lane,85,1,3
AID04105,Middle Lane,83,2,4
AID04105,Slow Lane,76,2,2
AID04106,Fast Lane,94,2,9
AID04106,Middle Lane,77,6,8
AID04106,Slow Lane,64,6,12
AID04107,Fast Lane,98,1,3
AID04107,Middle Lane,86,3,9
AID04107,Slow Lane,66,2,3
AID04108,Fast Lane,83,11,14
AID04108,Slow Lane,90,3,6
AID04109,Fast Lane,67,4,10
AID04109,Slow Lane,76,4,10
AID04110,Fast Lane,75,1,5
AID04110,Middle Lane 1,71,9,13
AID04110,Middle Lane 2,86,2,2
AID04110,Middle Lane 3,99,1,2
AID04110,Slow Lane,83,1,3
AID04111,Fast Lane,65,6,9
AID04111,Slow Lane,65,2,4
AID04112,Fast Lane,87,1,2
AID04112,Middle Lane,75,2,4
AID04112,Slow Lane,79,3,6
AID04113,Fast Lane,102,0,1
AID04113,Middle Lane,93,1,3
AID04113,Slow Lane,84,2,5
AID04114,Fast Lane,102,0,1
AID04114,Middle Lane,101,2,3
AID04114,Slow Lane,91,1,4
AID04115,Fast Lane,67,1,2
AID04115,Slow Lane,68,0,2
AID04116,Fast Lane,73,6,8
AID04116,Slow Lane,70,2,2
AID04117,Fast Lane,72,1,3
AID04117,Slow Lane,57,5,4
AID04118,Fast Lane,82,2,5
AID04118,Slow Lane,83,2,4
AID04119,Fast Lane,70,0,0
AID04119,Slow Lane,44,0,1
AID04120,Fast Lane,78,0,1
AID04120,Slow Lane,70,0,0
AID04121,Fast Lane,85,3,6
AID04121,Slow Lane,80,0,1
AID04122,Fast Lane,81,3,7
AID04122,Middle Lane,85,1,3
AID04122,Slow Lane,58,6,7
AID04201,Fast Lane,76,1,1
AID04201,Slow Lane,50,0,0
AID04202,Fast Lane,56,2,2
AID04202,Slow Lane,75,0,1
AID04203,Fast Lane,70,0,0
AID04203,Middle Lane,61,0,1
AID04203,Slow Lane,70,0,0
AID04204,Fast Lane,77,0,1
AID04204,Slow Lane,80,4,4
AID04205,Fast Lane,41,0,1
AID04205,Middle Lane,31,4,4
AID04205,Slow Lane,70,0,0
AID04206,Fast Lane,85,1,2
AID04206,Slow Lane,72,3,6
AID04207,Fast Lane,91,0,2
AID04207,Slow Lane,73,0,2
AID04208,Fast Lane,68,3,6
AID04208,Middle Lane,71,4,4
AID04208,Slow Lane,50,0,2
AID04209,Fast Lane,76,2,4
AID04209,Middle Lane,89,3,4
AID04209,Slow Lane,77,0,2
AID04210,Fast Lane,70,0,0
AID04210,Middle Lane 1,89,1,4
AID04210,Middle Lane 2,73,1,3
AID04210,Slow Lane,78,1,2
AID04211,Fast Lane,70,0,0
AID04211,Slow Lane,73,1,2
AID04212,Fast Lane,59,3,3
AID04212,Middle Lane 1,63,0,1
AID04212,Middle Lane 2,67,5,6
AID04212,Middle Lane 3,72,0,3
AID04212,Middle Lane 4,78,0,1
AID04212,Slow Lane,70,0,0
AID04213,Fast Lane,85,1,3
AID04213,Middle Lane,65,5,3
AID04213,Slow Lane,52,2,3
AID04214,Fast Lane,82,1,2
AID04214,Middle Lane 1,67,2,4
AID04214,Middle Lane 2,80,3,5
AID04214,Middle Lane 3,90,5,7
AID04214,Slow Lane,70,0,0
AID04215,Fast Lane,92,0,3
AID04215,Middle Lane 1,76,3,4
AID04215,Middle Lane 2,81,6,6
AID04215,Slow Lane,66,1,4
AID04216,Fast Lane,92,0,1
AID04216,Middle Lane,82,1,3
AID04216,Slow Lane,73,5,7
AID04217,Fast Lane,92,2,4
AID04217,Middle Lane,82,2,5
AID04217,Slow Lane,80,4,8
AID04218,Fast Lane,79,3,5
AID04218,Middle Lane,72,5,10
AID04218,Slow Lane,70,3,6
AID04219,Fast Lane,71,1,3
AID04219,Middle Lane,72,1,4
AID04219,Slow Lane,59,8,8
AID04220,Fast Lane,80,0,0
AID04220,Slow Lane,91,1,3
AID04221,Fast Lane,80,0,0
AID04221,Slow Lane,96,0,1
AID04222,Fast Lane,70,0,0
AID05101,Fast Lane,74,2,3
AID05101,Slow Lane,73,5,7
AID05102,Fast Lane,80,0,1
AID05103,Fast Lane,65,0,1
AID05103,Middle Lane,56,5,6
AID05103,Slow Lane,57,1,2
AID05104,Fast Lane,65,3,5
AID05104,Middle Lane,54,9,5
AID05104,Slow Lane,56,1,3
AID05109,Fast Lane,65,3,6
AID05109,Middle Lane 1,50,0,0
AID05109,Middle Lane 2,65,1,3
AID05109,Slow Lane,55,1,4
AID05110,Fast Lane,58,6,8
AID05110,Slow Lane,52,9,7
AID05111,Fast Lane,69,1,3
AID05113,Slow Lane,50,0,0
AID05114,Fast Lane,83,0,1
AID05114,Middle Lane 1,70,0,1
AID05114,Middle Lane 2,65,7,5
AID05114,Slow Lane,50,0,0
AID05115,Fast Lane,69,2,5
AID05115,Slow Lane,67,4,6
AID05116,Fast Lane,62,2,4
AID05116,Middle Lane 2,59,2,5
AID05117,Fast Lane,86,2,5
AID05117,Slow Lane,57,3,2
AID05118,Fast Lane,69,5,8
AID05118,Slow Lane,65,5,8
AID05119,Fast Lane,54,19,6
AID05119,Slow Lane,50,25,7
AID05120,Fast Lane,89,2,5
AID05120,Slow Lane,76,6,10
AID05121,Fast Lane,76,4,8
AID05121,Slow Lane,58,2,4
AID05122,Fast Lane,73,4,8
AID05122,Slow Lane,63,4,5
AID05123,Fast Lane,78,1,3
AID05123,Middle Lane,84,5,9
AID05123,Slow Lane,85,2,4
AID05124,Fast Lane,95,1,3
AID05124,Middle Lane,94,2,7
AID05124,Slow Lane,79,2,3
AID05125,Fast Lane,89,0,2
AID05125,Middle Lane 1,86,6,8
AID05125,Middle Lane 2,80,5,8
AID05125,Middle Lane 3,91,0,3
AID05125,Slow Lane,48,2,1
AID05126,Fast Lane,84,3,5
AID05126,Middle Lane,79,5,9
AID05126,Slow Lane,88,1,3
AID05127,Fast Lane,58,5,8
AID05127,Slow Lane,64,5,5
AID05128,Fast Lane,83,4,8
AID05128,Middle Lane,70,5,7
AID05128,Slow Lane,72,2,6
AID05129,Fast Lane,61,2,6
AID05129,Middle Lane,60,5,7
AID05129,Slow Lane,60,7,8
AID05130,Fast Lane,67,2,2
AID05130,Slow Lane,58,10,10
AID05131,Fast Lane,63,1,2
AID05131,Slow Lane,82,1,3
AID05132,Fast Lane,94,3,3
AID05132,Middle Lane,92,1,2
AID05132,Slow Lane,75,6,10
AID05133,Fast Lane,90,4,5
AID05133,Slow Lane,83,4,6
AID05134,Fast Lane,85,3,5
AID05134,Slow Lane,66,7,6
AID05135,Fast Lane,83,1,3
AID05135,Slow Lane,69,1,3
AID05201,Fast Lane,95,2,3
AID05201,Middle Lane,71,4,3
AID05201,Slow Lane,74,10,8
AID05202,Fast Lane,100,1,2
AID05202,Slow Lane,89,0,2
AID05203,Fast Lane,77,2,2
AID05203,Slow Lane,87,0,1
AID05204,Fast Lane,95,4,5
AID05204,Middle Lane,75,4,4
AID05204,Slow Lane,70,0,1
AID05205,Fast Lane,94,2,6
AID05205,Slow Lane,79,3,6
AID05207,Fast Lane,89,2,4
AID05207,Middle Lane,74,1,2
AID05207,Slow Lane,68,1,2
AID05208,Fast Lane,94,2,4
AID05208,Middle Lane 1,68,1,3
AID05208,Middle Lane 2,79,2,5
AID05208,Slow Lane,67,3,6
AID05209,Fast Lane,85,5,11
AID05209,Middle Lane 1,79,4,5
AID05209,Middle Lane 2,74,4,6
AID05209,Slow Lane,97,3,5
AID05210,Fast Lane,76,2,3
AID05210,Middle Lane 1,78,5,7
AID05210,Middle Lane 2,82,5,6
AID05210,Middle Lane 3,79,3,5
AID05210,Slow Lane,69,1,2
AID05211,Fast Lane,70,0,0
AID05211,Middle Lane 1,74,1,3
AID05211,Middle Lane 2,68,0,1
AID05211,Middle Lane 3,76,7,8
AID05211,Slow Lane,74,3,6
AID05212,Fast Lane,83,3,5
AID05212,Middle Lane,69,8,9
AID05212,Slow Lane,71,4,6
AID05213,Fast Lane,75,2,5
AID05213,Middle Lane,74,2,4
AID05213,Slow Lane,63,2,4
AID05214,Fast Lane,77,0,1
AID05214,Slow Lane,77,1,3
AID05215,Fast Lane,93,0,1
AID05215,Slow Lane,69,3,6
AID05216,Fast Lane,85,1,2
AID05216,Slow Lane,63,3,5
AID05217,Fast Lane,88,1,2
AID05217,Slow Lane,82,3,9
AID05218,Fast Lane,75,1,2
AID05218,Middle Lane,59,6,9
AID05218,Slow Lane,80,0,2
AID05219,Fast Lane,63,2,4
AID05219,Slow Lane,81,1,2
AID05220,Fast Lane,60,0,2
AID05220,Slow Lane,70,0,0
AID05221,Fast Lane,73,0,1
AID05221,Slow Lane,46,1,1
AID05222,Fast Lane,78,1,2
AID05222,Middle Lane,79,0,2
AID05222,Slow Lane,59,4,6
AID05223,Fast Lane,37,1,2
AID05223,Slow Lane,51,5,5
AID05224,Fast Lane,43,15,12
AID05225,Fast Lane,52,10,14
AID05226,Fast Lane,52,6,10
AID05226,Middle Lane 1,50,0,0
AID05226,Middle Lane 2,45,17,15
AID05226,Slow Lane,50,0,0
AID05227,Fast Lane,50,0,0
AID05227,Middle Lane 1,44,6,6
AID05227,Middle Lane 2,48,11,10
AID05227,Slow Lane,38,14,3
AID05232,Fast Lane,44,4,9
AID05232,Slow Lane,39,2,5
AID05233,Fast Lane,73,0,1
AID05233,Middle Lane,58,0,1
AID05233,Slow Lane,70,0,0
AID05234,Fast Lane,55,0,1
AID05234,Middle Lane,70,0,0
AID05234,Slow Lane,61,0,1
AID05235,Fast Lane,70,0,0
AID07101,Fast Lane,59,1,2
AID07101,Middle Lane,64,1,2
AID07101,Slow Lane,29,0,1
AID07102,Fast Lane,70,0,0
AID07102,Slow Lane,70,0,0
AID07103,Fast Lane,76,1,3
AID07103,Slow Lane,87,1,4
AID07104,Fast Lane,92,2,4
AID07104,Middle Lane,69,3,4
AID07104,Slow Lane,59,4,3
AID07106,Fast Lane,71,14,9
AID07106,Middle Lane,56,18,12
AID07106,Slow Lane,70,0,0
AID07107,Fast Lane,40,2,3
AID07107,Middle Lane,64,3,8
AID07107,Slow Lane,52,1,1
AID07108,Fast Lane,36,2,2
AID07108,Middle Lane 1,37,2,3
AID07108,Middle Lane 2,33,4,2
AID07108,Slow Lane,40,4,3
AID07109,Fast Lane,40,1,2
AID07109,Middle Lane 1,38,1,1
AID07109,Middle Lane 2,39,0,1
AID07109,Slow Lane,46,1,1
AID07110,Fast Lane,50,6,8
AID07110,Slow Lane,30,6,2
AID07111,Fast Lane,65,12,10
AID07111,Middle Lane,59,6,4
AID07111,Slow Lane,85,0,1
AID07112,Fast Lane,68,7,10
AID07112,Middle Lane,60,4,4
AID07112,Slow Lane,51,6,2
AID07113,Fast Lane,59,3,5
AID07113,Middle Lane 1,76,1,2
AID07113,Middle Lane 2,70,0,0
AID07113,Slow Lane,71,5,2
AID07114,Fast Lane,51,9,12
AID07114,Middle Lane 1,65,1,4
AID07114,Middle Lane 2,70,0,0
AID07114,Middle Lane 3,75,2,3
AID07114,Middle Lane 4,48,1,3
AID07114,Slow Lane,62,0,2
AID07115,Fast Lane,61,8,6
AID07115,Slow Lane,54,10,6
AID07116,Fast Lane,57,18,9
AID07116,Middle Lane 1,53,14,4
AID07116,Middle Lane 2,54,19,9
AID07116,Slow Lane,19,23,1
AID07117,Fast Lane,67,3,6
AID07117,Middle Lane,63,4,8
AID07117,Slow Lane,34,4,2
AID07118,Fast Lane,65,5,10
AID07118,Middle Lane,54,4,8
AID07118,Slow Lane,70,0,0
AID07119,Fast Lane,83,4,11
AID07119,Middle Lane,73,3,8
AID07119,Slow Lane,60,4,3
AID07120,Fast Lane,64,6,10
AID07120,Middle Lane,63,4,6
AID07120,Slow Lane,59,2,5
AID07121,Fast Lane,65,11,15
AID07121,Middle Lane,57,6,4
AID07121,Slow Lane,54,5,6
AID07122,Fast Lane,48,5,6
AID07122,Middle Lane,53,5,6
AID07122,Slow Lane,39,9,6
AID07123,Fast Lane,83,1,2
AID07123,Middle Lane,72,5,8
AID07123,Slow Lane,70,0,0
AID07124,Fast Lane,55,3,6
AID07124,Middle Lane,50,6,7
AID07124,Slow Lane,71,3,3
AID07125,Fast Lane,78,3,6
AID07125,Slow Lane,70,5,6
AID07126,Fast Lane,64,7,10
AID07126,Slow Lane,53,7,6
AID07127,Fast Lane,61,4,6
AID07127,Slow Lane,58,6,7
AID07128,Fast Lane,49,10,12
AID07128,Slow Lane,43,7,10
AID07129,Fast Lane,77,8,14
AID07129,Middle Lane,70,4,7
AID07129,Slow Lane,64,7,7
AID07130,Fast Lane,83,5,7
AID07130,Middle Lane,78,4,8
AID07130,Slow Lane,72,2,3
AID07131,Fast Lane,82,6,6
AID07131,Middle Lane,69,6,4
AID07131,Slow Lane,73,5,5
AID07133,Fast Lane,75,4,6
AID07133,Middle Lane,72,12,14
AID07133,Slow Lane,79,6,3
AID07134,Fast Lane,66,2,5
AID07134,Slow Lane,70,0,2
AID07201,Fast Lane,60,2,5
AID07201,Middle Lane 1,62,0,2
AID07201,Middle Lane 2,59,4,5
AID07201,Slow Lane,70,0,0
AID07202,Fast Lane,70,0,0
AID07202,Middle Lane,67,4,5
AID07202,Slow Lane,66,0,1
AID07203,Fast Lane,72,1,1
AID07203,Middle Lane,72,2,4
AID07203,Slow Lane,76,2,4
AID07204,Fast Lane,68,6,1
AID07204,Middle Lane,76,11,3
AID07204,Slow Lane,71,5,3
AID07205,Fast Lane,84,1,3
AID07205,Middle Lane 1,62,1,3
AID07205,Middle Lane 2,78,1,5
AID07205,Slow Lane,70,0,0
AID07206,Fast Lane,81,3,5
AID07206,Middle Lane,62,4,8
AID07206,Slow Lane,54,2,4
AID07207,Fast Lane,72,3,6
AID07207,Middle Lane,64,6,8
AID07207,Slow Lane,54,2,1
AID07208,Fast Lane,68,13,7
AID07208,Middle Lane,65,17,8
AID07208,Slow Lane,48,4,1
AID07209,Fast Lane,70,7,6
AID07209,Middle Lane 1,56,3,3
AID07209,Middle Lane 2,73,2,3
AID07209,Slow Lane,57,2,2
AID07210,Fast Lane,60,10,9
AID07210,Middle Lane,52,12,16
AID07210,Slow Lane,52,2,2
AID07211,Fast Lane,21,21,6
AID07211,Middle Lane,24,8,3
AID07211,Slow Lane,39,3,1
AID07212,Fast Lane,73,0,1
AID07212,Middle Lane,68,1,2
AID07212,Slow Lane,69,6,8
AID07213,Fast Lane,75,0,1
AID07213,Middle Lane,65,5,6
AID07213,Slow Lane,68,5,6
AID07214,Fast Lane,70,6,9
AID07214,Middle Lane,80,4,8
AID07214,Slow Lane,89,1,2
AID07215,Fast Lane,73,4,8
